Date;Open;High;Low;Close;VWD;VWS;VWM;ADJ;Candle;Volume
05/09/2022 16:28:07.416;113700.00;113750.00;113515.00;113580.00;113406.70;113406.70;112083.94;112246.00;40;763992
05/09/2022 15:31:33.388;113600.00;113700.00;113410.00;113700.00;113388.68;113388.68;112057.63;112246.00;39;833214
05/09/2022 14:20:15.869;113500.00;113600.00;113370.00;113600.00;113375.81;113375.81;112030.05;112246.00;38;908713
05/09/2022 14:06:36.789;113400.00;113500.00;113355.00;113500.00;113364.31;113364.31;111999.82;112246.00;37;196856
05/09/2022 13:43:59.980;113300.00;113400.00;113170.00;113400.00;113363.12;113363.12;111993.42;112246.00;36;411973
05/09/2022 13:07:16.462;113300.00;113445.00;113200.00;113200.00;113366.29;113366.29;111980.90;112246.00;35;683134
05/09/2022 12:54:14.702;113300.00;113400.00;113270.00;113400.00;113368.18;113368.18;111958.89;112246.00;34;239952
05/09/2022 12:21:39.770;113200.00;113300.00;113045.00;113300.00;113369.13;113369.13;111951.03;112246.00;33;775914
05/09/2022 12:20:30.234;113200.00;113245.00;113100.00;113100.00;113392.77;113392.77;111927.96;112246.00;32;80579
05/09/2022 12:10:40.008;113300.00;113385.00;113200.00;113200.00;113395.68;113395.68;111925.53;112246.00;31;298169
05/09/2022 12:09:51.882;113400.00;113420.00;113300.00;113300.00;113400.81;113400.81;111915.57;112246.00;30;76070
05/09/2022 12:09:38.265;113500.00;113505.00;113400.00;113400.00;113401.21;113401.21;111912.86;112246.00;29;45057
05/09/2022 11:53:07.180;113600.00;113730.00;113500.00;113500.00;113400.85;113400.85;111911.17;112246.00;28;345726
05/09/2022 11:43:54.608;113600.00;113700.00;113475.00;113700.00;113385.94;113385.94;111896.50;112246.00;27;246878
05/09/2022 11:34:33.814;113600.00;113800.00;113500.00;113500.00;113376.17;113376.17;111886.14;112246.00;26;351294
05/09/2022 11:17:22.523;113600.00;113700.00;113415.00;113700.00;113354.31;113354.31;111870.44;112246.00;25;518393
05/09/2022 11:12:42.486;113600.00;113635.00;113500.00;113500.00;113331.38;113331.38;111848.47;112246.00;24;161617
05/09/2022 11:08:21.882;113700.00;113750.00;113600.00;113600.00;113321.99;113321.99;111841.39;112246.00;23;193643
05/09/2022 11:07:26.018;113800.00;113805.00;113700.00;113700.00;113304.50;113304.50;111832.32;112246.00;22;59951
05/09/2022 10:50:38.486;113900.00;114050.00;113800.00;113800.00;113297.44;113297.44;111829.37;112246.00;21;471892
05/09/2022 10:19:57.492;113900.00;114000.00;113735.00;114000.00;113209.55;113209.55;111803.79;112246.00;20;828542
05/09/2022 10:19:23.487;113800.00;113900.00;113800.00;113900.00;112995.74;112995.74;111758.70;112246.00;19;59607
05/09/2022 10:09:34.002;113700.00;113800.00;113610.00;113800.00;112974.89;112974.89;111755.39;112246.00;18;408480
05/09/2022 10:05:45.612;113600.00;113700.00;113455.00;113700.00;112828.87;112828.87;111734.04;112246.00;17;188245
05/09/2022 10:05:11.787;113500.00;113600.00;113490.00;113600.00;112754.02;112754.02;111724.74;112246.00;16;53149
05/09/2022 10:04:28.307;113400.00;113500.00;113385.00;113500.00;112730.66;112730.66;111722.13;112246.00;15;81845
05/09/2022 10:04:05.188;113300.00;113400.00;113280.00;113400.00;112696.93;112696.93;111718.33;112246.00;14;29539
05/09/2022 10:02:28.308;113200.00;113300.00;113185.00;113300.00;112686.00;112686.00;111717.05;112246.00;13;74193
05/09/2022 09:59:10.675;113100.00;113200.00;113070.00;113200.00;112660.54;112660.54;111713.99;112246.00;12;131242
05/09/2022 09:55:59.251;113000.00;113100.00;112980.00;113100.00;112618.28;112618.28;111708.90;112246.00;11;103615
05/09/2022 09:52:46.295;112900.00;113000.00;112865.00;113000.00;112587.18;112587.18;111705.16;112246.00;10;97205
05/09/2022 09:46:46.770;112800.00;112900.00;112770.00;112900.00;112561.59;112561.59;111701.91;112246.00;9;129129
05/09/2022 09:37:16.308;112700.00;112800.00;112610.00;112800.00;112531.13;112531.13;111697.90;112246.00;8;227461
05/09/2022 09:30:19.892;112600.00;112700.00;112585.00;112700.00;112486.44;112486.44;111691.51;112246.00;7;160158
